,ID,HIP,TYC,UCAC,2MASS,SDSS,Objtype,Kepflag,StpropFlag,RA,DEC,pmRA,e_pmRA,pmDEC,e_pmDEC,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Kp,Teff,e_Teff,logg,e_logg,[Fe/H],e_[Fe/H],Rad,e_Rad,Mass,e_Mass,rho,e_rho,Lum,e_Lum,d,e_d,E(B-V),NOMAD,Mflg,prox,umag0,Jmag0,Kmag0,rmag0,gmag0,Hmag0
14059,220130033,,,437-001722,01202901-0243399,7907-301-3-0206-0109,STAR,gri,,20.120929,-2.72778,0.0,2.3,-4.2,3.3,,,17.023,0.06,15.245999999999999,0.13,,,16.14,0.1,14.595999999999998,0.17,14.13,0.7,,,12.040999999999999,0.024,11.152000000000001,0.024,10.95,0.023,,,,,,,,,14.732999999999999,,,,,,,,,,,,,,,,,0.04882,,AAA-222-111-000-0-0,72.8,,12.005703139999998,10.934865799999999,14.484446299999998,15.97874754,11.129542800000001
16695,220132669,,,,01092024-0236285,2699-301-3-0083-0080,STAR,gri,,17.334348000000002,-2.607936,7.0,3.0,-7.0,3.0,,,,,,,20.935,0.073,18.445999999999998,0.006999999999999999,17.045,0.006,15.679,0.005,14.957,0.006,13.574000000000002,0.027999999999999997,12.824000000000002,0.027000000000000003,12.587,0.025,,,,,,,,,16.509,,,,,,,,,,,,,,,,,0.01524,,AAA-222-111-000-0-0,9.5,20.87039764,13.562981480000001,12.5822756,17.0101766,18.395662279999996,12.816989600000001
17349,220133323,,,438-001068,00521409-0234402,,STAR,gri,,13.058741,-2.57786,-4.0,1.7,-4.0,2.0,,,16.461,0.06,14.755,0.02,,,15.59,0.04,14.218,0.047,13.458,0.1,,,11.78,0.024,10.97,0.024,10.747,0.021,,,,,,,,,14.097000000000001,,,,,,,,,,,,,,,,,0.03104,,AAA-222-111-000-0-0,19.2,,11.757558079999999,10.7373776,14.1470736,15.48747488,10.9557216
20720,220136694,,,438-001552,01155645-0225303,7907-301-4-0198-0109,STAR,gri,,18.985221,-2.4251259999999997,0.9,3.1,-1.0,2.9,,,17.202,0.03,15.735999999999999,0.13,,,16.547,0.02,15.163,0.07,14.546,0.06,,,12.818,0.023,11.958,0.022000000000000002,11.832,0.023,,,,,,,,,15.145999999999999,,,,,,,,,,,,,,,,,0.03817,,AAA-222-111-000-0-0,67.8,,12.79040309,11.820167300000001,15.07578155,16.42092449,11.9404418
54006,220169980,,,444-000988,00470754-0112405,,STAR,gri,,11.781483,-1.211317,-2.4,3.3,-1.4,3.7,,,16.642,0.02,14.949000000000002,0.03,,,15.895999999999999,0.06,14.478,0.01,14.029000000000002,0.18,,,12.575,0.024,11.790999999999999,0.021,11.712,0.027000000000000003,,,,,,,,,14.589,,,,,,,,,,,,,,,,,0.01935,,AAA-222-111-000-0-0,47.7,,12.561009949999999,11.7060015,14.43378525,15.832086949999999,11.782098999999999
73356,220189330,,,,00574534-0024428,,STAR,JHK,,14.438926,-0.411892,,,,,,,,,,,,,,,,,,,,,14.005999999999998,0.053,13.231,0.05,12.970999999999998,0.06,,,,,,,,,16.449,,,,,,,,,,,,,,,,,0.03117,0895-0010263,AAA-222-111-000-0-0,22.9,,13.983464089999998,12.961337299999999,,,13.2166618
76861,220192835,,,449-001341,01050769-0016368,,STAR,gri,,16.282164,-0.27688,5.0,4.3,-1.0,3.4,,,16.647000000000002,0.14,14.884,0.04,,,15.735,0.05,14.3,0.04,13.755,0.05,,,12.06,0.025,11.227,0.025,11.069,0.026000000000000002,,,,,,,,,14.349,,,,,,,,,,,,,,,,,0.02891,,AAA-222-111-000-0-0,6.1,,12.03909807,11.060037900000001,14.233940650000001,15.639510269999999,11.2137014
84490,220200464,,,,00435108+0000458,,STAR,JHK,,10.962864999999999,0.012731999999999999,,,,,,,,,,,,,,,,,,,,,13.915,0.032,13.158,0.027000000000000003,13.019,0.027000000000000003,,,,,,,,,16.025,,,,,,,,,,,,,,,,,0.0186,0900-0008416,AAA-222-111-000-0-0,8.2,,13.9015522,13.013234,,,13.149443999999999
85791,220201765,,,451-001468,01102644+0003334,,STAR,gri,,17.610213,0.05929500000000001,2.0,2.2,-2.8,5.4,,,16.500999999999998,0.05,15.040999999999999,0.05,,,15.806,0.05,14.535,0.01,14.27,0.35,,,12.58,0.024,11.765999999999998,0.03,11.595,0.019,,,,,,,,,14.731,,,,,,,,,,,,,,,,,0.01641,,AAA-222-111-000-0-0,63.2,,12.56813557,11.5899129,14.49750315,15.75179777,11.758451399999998
88191,220204165,,,451-001236,00585581+0008366,,STAR,gri,,14.732539000000001,0.143519,8.4,10.8,-2.3,3.5,,,16.382,0.14,14.905999999999999,0.1,,,15.67,0.08,14.433,0.05,13.933,0.14,,,12.421,0.022000000000000002,11.654000000000002,0.026000000000000002,11.5,0.021,,,,,,,,,14.454,,,,,,,,,,,,,,,,,0.02075,,AAA-222-111-000-0-0,107.8,,12.40599775,11.4935675,14.38558625,15.60146275,11.644455000000002
99541,220215515,,,,00541065+0033028,,STAR,JHK,,13.544409,0.5507920000000001,8.0,3.0,-4.0,4.0,,,,,,,,,,,,,,,,,13.97,0.03,13.204,0.027000000000000003,12.999,0.027000000000000003,,,,,,,,,16.25,,,,,,,,,,,,,,,,,0.02451,0905-0009579,AAA-222-111-000-0-0,76.3,,13.95227927,12.991401900000001,,,13.1927254
100011,220215985,,,453-001742,01191944+0034042,,STAR,gri,,19.830991,0.567829,1.7,3.1,0.1,3.7,,,16.768,0.01,15.024000000000001,0.03,,,16.044,0.05,14.574000000000002,0.03,13.964,0.1,,,12.468,0.027000000000000003,11.609000000000002,0.023,11.455,0.024,,,,,,,,,14.588,,,,,,,,,,,,,,,,,0.01302,,AAA-222-111-000-0-0,51.9,,12.45858654,11.4509638,14.544249300000002,16.00099494,11.603010800000002
102943,220218917,,,454-001874,01324893+0040164,,STAR,JHK,,23.203910999999998,0.671253,1.2,2.8,-4.5,3.1,,,,,,,,,,,,,,,,,13.145999999999999,0.026000000000000002,12.323,0.025,12.162,0.024,,,,,,,,,15.458,,,,,,,,,,,,,,,,,0.02203,,AAA-222-111-000-0-0,101.3,,13.13007231,12.155170700000001,,,12.3128662
103869,220219843,,,,00434277+0042068,,STAR,JHK,,10.928232000000001,0.701915,,,,,,,,,,,,,,,,,,,,,13.27,0.032,12.54,0.032,12.305,0.02,,,,,,,,,15.789000000000001,,,,,,,,,,,,,,,,,0.0199,0907-0008361,AAA-222-111-000-0-0,14.7,,13.2556123,12.298831,,,12.530845999999999
