ID,RA,DEC,Kp,cadence,pm1,pm2,extent,comments
220130033,20.120929,-2.72778,14.733,30,,,,
220132669,17.334348,-2.607936,16.509,30,,,,
220133323,13.058741,-2.57786,14.097,30,,,,
220136694,18.985221,-2.425126,15.146,30,,,,
220169980,11.781483,-1.211317,14.589,30,,,,
220189330,14.438926,-0.411892,16.449,30,,,,
220192835,16.282164,-0.27688,14.349,30,,,,
220200464,10.962865,0.012732,16.025,30,,,,
220201765,17.610213,0.059295,14.731,30,,,,
220204165,14.732539,0.143519,14.454,30,,,,
220215515,13.544409,0.550792,16.25,30,,,,
220215985,19.830991,0.567829,14.588,30,,,,
220218917,23.203911,0.671253,15.458,30,,,,
220219843,10.928232,0.701915,15.789,30,,,,
220220810,14.228219,0.733889,16.303,30,,,,
220226269,22.47085,0.927559,14.332,30,,,,
220227009,20.072253,0.954698,16.585,30,,,,
220246285,10.987047,1.493697,16.278,30,,,,
220254358,8.924325,1.661218,13.785,30,,,,
220257822,20.015749,1.730853,16.435,30,,,,
220262073,21.955541,1.823597,14.746,30,,,,
220271605,14.713463,2.030617,14.244,30,,,,
220277043,16.257049,2.144233,16.581,30,,,,
220282337,21.433944,2.257996,16.288,30,,,,
220318583,18.658342,3.030325,14.626,30,,,,
220321867,10.107373,3.102862,15.915,30,,,,
220325918,23.476442,3.19119,15.895,30,,,,
220358194,22.727287,3.866003,14.56,30,,,,
220384650,15.798305,4.406985,14.563,30,,,,
220407317,20.730992,4.859488,14.138,30,,,,
220417958,21.619274,5.065957,13.933,30,,,,
220439455,22.912078,5.47929,14.379,30,,,,
220468160,20.799191,6.049272,14.789,30,,,,
220483096,18.138941,6.386454,15.686,30,,,,
220510335,11.695172,7.001161,15.84,30,,,,
220534635,11.219677,7.543061,15.235,30,,,,
220539397,24.272702,7.652734,14.259,30,,,,
220581561,22.717689,8.628079,15.332,30,,,,
220619031,22.336616,9.453217,16.39,30,,,,
220665569,9.506962,10.566092,16.143,30,,,,
220667865,17.787322,10.620599,15.269,30,,,,
220687205,16.625296,11.119445,14.457,30,,,,
220695611,21.895317,11.351986,15.667,30,,,,
220695818,21.120857,11.357769,14.782,30,,,,
220713356,20.546064,11.851963,14.22,30,,,,
220732003,19.876191,12.442267,15.684,30,,,,
